Query,Position,YouTube Videos,Other Videos
Compléments de bodybuilding,20,2.0,0.0
Compléments de bodybuilding,21,0.0,0.0
Compléments de bodybuilding,22,0.0,0.0
Compléments de bodybuilding,23,0.0,0.0
Compléments de bodybuilding,24,0.0,0.0
Compléments de bodybuilding,25,0.0,0.0
Compléments de bodybuilding,26,0.0,0.0
Compléments de bodybuilding,27,0.0,0.0
Compléments de bodybuilding,28,0.0,1.0
Compléments de bodybuilding,29,0.0,1.0
Compléments de bodybuilding,30,1.0,0.0
Compléments de bodybuilding,31,0.0,0.0
Compléments de bodybuilding,32,1.0,0.0
Compléments de bodybuilding,33,0.0,0.0
Compléments de bodybuilding,34,0.0,0.0
Compléments de bodybuilding,35,0.0,0.0
Compléments de bodybuilding,36,0.0,1.0
Compléments de bodybuilding,37,0.0,0.0
Compléments de bodybuilding,38,0.0,0.0
Compléments de bodybuilding,39,0.0,0.0
Compléments de bodybuilding,40,0.0,1.0
Compléments de bodybuilding,41,1.0,0.0
Compléments de bodybuilding,42,0.0,0.0
Compléments de bodybuilding,43,0.0,1.0
Compléments de bodybuilding,44,0.0,1.0
Compléments de bodybuilding,45,0.0,1.0
Compléments de bodybuilding,46,0.0,0.0
Entraînements de bodybuilding,1,0.0,0.0
Entraînements de bodybuilding,2,0.0,0.0
Entraînements de bodybuilding,3,0.0,1.0
Entraînements de bodybuilding,4,0.0,0.0
Entraînements de bodybuilding,5,0.0,0.0
Entraînements de bodybuilding,6,0.0,0.0
Entraînements de bodybuilding,7,0.0,0.0
Entraînements de bodybuilding,8,0.0,0.0
Entraînements de bodybuilding,9,0.0,0.0
Entraînements de bodybuilding,10,0.0,1.0
Entraînements de bodybuilding,11,0.0,0.0
Entraînements de bodybuilding,12,0.0,0.0
Entraînements de bodybuilding,13,1.0,0.0
Entraînements de bodybuilding,14,0.0,0.0
Entraînements de bodybuilding,15,0.0,0.0
Entraînements de bodybuilding,16,0.0,0.0
Entraînements de bodybuilding,17,0.0,1.0
Entraînements de bodybuilding,18,0.0,1.0
Entraînements de bodybuilding,19,0.0,1.0
Entraînements de bodybuilding,20,0.0,1.0
Entraînements de bodybuilding,21,0.0,0.0
Entraînements de bodybuilding,22,0.0,0.0
Entraînements de bodybuilding,23,1.0,0.0
Entraînements de bodybuilding,24,1.0,0.0
Entraînements de bodybuilding,25,0.0,0.0
Entraînements de bodybuilding,26,0.0,0.0
Entraînements de bodybuilding,27,0.0,0.0
Entraînements de bodybuilding,28,0.0,0.0
Entraînements de bodybuilding,29,0.0,0.0
Entraînements de bodybuilding,30,0.0,0.0
Entraînements de bodybuilding,31,1.0,0.0
Entraînements de bodybuilding,32,0.0,0.0
Entraînements de bodybuilding,33,0.0,0.0
Entraînements de bodybuilding,34,0.0,0.0
Entraînements de bodybuilding,35,0.0,0.0
Entraînements de bodybuilding,36,0.0,0.0
Entraînements de bodybuilding,37,0.0,0.0
Entraînements de bodybuilding,38,,
Entraînements de bodybuilding,39,0.0,0.0
Entraînements de bodybuilding,40,0.0,0.0
Entraînements de bodybuilding,41,0.0,0.0
Entraînements de bodybuilding,42,0.0,0.0
Entraînements de bodybuilding,43,0.0,0.0
Entraînements de bodybuilding,44,0.0,0.0
Entraînements de bodybuilding,45,0.0,0.0
Entraînements de bodybuilding,46,0.0,1.0
Entraînements de bodybuilding,47,0.0,0.0
Entraînements de bodybuilding,48,0.0,0.0
Routine de bodybuilding,1,0.0,0.0
Routine de bodybuilding,2,0.0,1.0
Routine de bodybuilding,3,0.0,0.0
Routine de bodybuilding,4,0.0,1.0
Routine de bodybuilding,5,0.0,0.0
Routine de bodybuilding,6,0.0,0.0
Routine de bodybuilding,7,1.0,0.0
Routine de bodybuilding,8,0.0,0.0
Routine de bodybuilding,9,0.0,0.0
Routine de bodybuilding,10,0.0,1.0
Routine de bodybuilding,11,0.0,0.0
Routine de bodybuilding,12,0.0,0.0
Routine de bodybuilding,13,0.0,1.0
Routine de bodybuilding,14,0.0,0.0
Routine de bodybuilding,15,0.0,0.0
Routine de bodybuilding,16,2.0,0.0
Routine de bodybuilding,17,1.0,0.0
Routine de bodybuilding,18,0.0,0.0
Routine de bodybuilding,19,0.0,1.0
Routine de bodybuilding,20,0.0,0.0
Routine de bodybuilding,21,0.0,0.0
Routine de bodybuilding,22,0.0,0.0
Routine de bodybuilding,23,0.0,1.0
Routine de bodybuilding,24,0.0,0.0
Routine de bodybuilding,25,0.0,0.0
Routine de bodybuilding,26,0.0,0.0
Routine de bodybuilding,27,1.0,0.0
Routine de bodybuilding,28,0.0,0.0
Routine de bodybuilding,29,1.0,0.0
Routine de bodybuilding,30,0.0,0.0
Routine de bodybuilding,31,0.0,1.0
Routine de bodybuilding,32,0.0,0.0
Routine de bodybuilding,33,0.0,0.0
Routine de bodybuilding,34,0.0,0.0
Routine de bodybuilding,35,0.0,0.0
Routine de bodybuilding,36,0.0,0.0
Routine de bodybuilding,37,0.0,0.0
Routine de bodybuilding,38,0.0,1.0
Routine de bodybuilding,39,,
Routine de bodybuilding,40,0.0,1.0
Routine de bodybuilding,41,0.0,0.0
Routine de bodybuilding,42,0.0,1.0
Routine de bodybuilding,43,0.0,1.0
Routine de bodybuilding,44,0.0,0.0
Bodybuilding naturel,1,0.0,0.0
Bodybuilding naturel,2,0.0,0.0
Bodybuilding naturel,3,0.0,0.0
Bodybuilding naturel,4,0.0,1.0
Bodybuilding naturel,5,0.0,0.0
Bodybuilding naturel,6,0.0,0.0
Bodybuilding naturel,7,0.0,0.0
Bodybuilding naturel,8,0.0,0.0
Bodybuilding naturel,9,3.0,0.0
Bodybuilding naturel,10,0.0,1.0
Bodybuilding naturel,11,0.0,1.0
Bodybuilding naturel,12,0.0,1.0
Bodybuilding naturel,13,0.0,0.0
Bodybuilding naturel,14,0.0,1.0
Bodybuilding naturel,15,0.0,0.0
Bodybuilding naturel,16,0.0,0.0
Bodybuilding naturel,17,0.0,0.0
Bodybuilding naturel,18,0.0,1.0
Bodybuilding naturel,19,0.0,0.0
Bodybuilding naturel,20,0.0,0.0
Bodybuilding naturel,21,0.0,0.0
Bodybuilding naturel,22,1.0,0.0
Bodybuilding naturel,23,0.0,0.0
Bodybuilding naturel,24,0.0,0.0
Bodybuilding naturel,25,1.0,0.0
Bodybuilding naturel,26,0.0,0.0
Bodybuilding naturel,27,0.0,1.0
Bodybuilding naturel,28,1.0,0.0
Bodybuilding naturel,29,1.0,0.0
Bodybuilding naturel,30,1.0,0.0
Bodybuilding naturel,31,0.0,0.0
Bodybuilding naturel,32,0.0,1.0
Bodybuilding naturel,33,0.0,1.0
Bodybuilding naturel,34,1.0,0.0
Bodybuilding naturel,35,0.0,0.0
Bodybuilding naturel,36,0.0,0.0
Bodybuilding naturel,37,0.0,1.0
Bodybuilding naturel,38,0.0,1.0
Bodybuilding naturel,39,0.0,0.0
Bodybuilding naturel,40,0.0,0.0
Bodybuilding naturel,41,0.0,1.0
Bodybuilding naturel,42,1.0,0.0
Bodybuilding naturel,43,0.0,1.0
Bodybuilding naturel,44,1.0,0.0
Bodybuilding naturel,45,0.0,1.0
Bodybuilding naturel,46,0.0,0.0
Bodybuilding pour les débutants,0,0.0,0.0
Bodybuilding pour les débutants,1,0.0,0.0
Bodybuilding pour les débutants,2,1.0,0.0
Bodybuilding pour les débutants,3,0.0,0.0
Bodybuilding pour les débutants,4,1.0,0.0
Bodybuilding pour les débutants,5,0.0,1.0
Bodybuilding pour les débutants,6,0.0,0.0
Bodybuilding pour les débutants,7,0.0,0.0
Bodybuilding pour les débutants,8,0.0,0.0
Bodybuilding pour les débutants,9,0.0,0.0
Bodybuilding pour les débutants,10,2.0,0.0
Bodybuilding pour les débutants,11,0.0,0.0
Bodybuilding pour les débutants,12,0.0,0.0
Bodybuilding pour les débutants,13,0.0,0.0
Bodybuilding pour les débutants,14,0.0,0.0
Bodybuilding pour les débutants,15,0.0,1.0
Bodybuilding pour les débutants,16,0.0,0.0
Bodybuilding pour les débutants,17,0.0,1.0
Bodybuilding pour les débutants,18,0.0,0.0
Bodybuilding pour les débutants,19,0.0,0.0
Bodybuilding pour les débutants,20,1.0,0.0
Bodybuilding pour les débutants,21,0.0,1.0
Bodybuilding pour les débutants,22,0.0,0.0
Bodybuilding pour les débutants,23,0.0,1.0
Bodybuilding pour les débutants,24,0.0,0.0
Bodybuilding pour les débutants,25,0.0,0.0
Bodybuilding pour les débutants,26,0.0,0.0
Bodybuilding pour les débutants,27,2.0,0.0
Bodybuilding pour les débutants,28,1.0,0.0
Bodybuilding pour les débutants,29,0.0,0.0
Bodybuilding pour les débutants,30,0.0,0.0
Bodybuilding pour les débutants,31,0.0,0.0
Bodybuilding pour les débutants,32,0.0,0.0
Bodybuilding pour les débutants,33,0.0,0.0
Bodybuilding pour les débutants,34,22.0,0.0
Bodybuilding pour les débutants,35,0.0,0.0
Bodybuilding pour les débutants,36,1.0,0.0
Bodybuilding pour les débutants,37,1.0,0.0
Bodybuilding pour les débutants,38,0.0,0.0
Bodybuilding pour les débutants,39,0.0,0.0
Bodybuilding pour les débutants,40,1.0,0.0
Bodybuilding pour les débutants,41,0.0,0.0
Bodybuilding pour les débutants,42,0.0,0.0
Bodybuilding pour les débutants,43,0.0,0.0
Bodybuilding pour les débutants,44,0.0,0.0
Bodybuilding pour les débutants,45,0.0,0.0
Bodybuilding pour les débutants,46,0.0,0.0
Bodybuilding pour les débutants,47,0.0,0.0
Bodybuilding pour les débutants,48,,
Anatomie du bodybuilding,1,0.0,0.0
Anatomie du bodybuilding,2,0.0,1.0
