Query,Position,YouTube Videos,Other Videos
Chaussures pour bébés,12,0.0,0.0
Chaussures pour bébés,13,0.0,1.0
Chaussures pour bébés,14,0.0,1.0
Chaussures pour bébés,15,0.0,0.0
Chaussures pour bébés,16,0.0,0.0
Chaussures pour bébés,17,0.0,1.0
Chaussures pour bébés,18,0.0,0.0
Chaussures pour bébés,19,0.0,0.0
Chaussures pour bébés,20,0.0,0.0
Chaussures pour bébés,21,0.0,1.0
Chaussures pour bébés,22,0.0,0.0
Chaussures pour bébés,23,0.0,0.0
Chaussures pour bébés,24,0.0,0.0
Chaussures pour bébés,25,0.0,1.0
Chaussures pour bébés,26,0.0,0.0
Chaussures pour bébés,27,0.0,0.0
Chaussures pour bébés,28,0.0,0.0
Chaussures pour bébés,29,0.0,1.0
Chaussures pour bébés,30,0.0,0.0
Chaussures pour bébés,31,0.0,0.0
Chaussures pour bébés,32,,
Chaussures pour bébés,33,1.0,0.0
Chaussures pour bébés,34,0.0,0.0
Chaussures pour bébés,35,0.0,0.0
Chaussures pour bébés,36,0.0,0.0
Chaussures pour bébés,37,0.0,0.0
Chaussures pour bébés,38,0.0,0.0
Chaussures pour bébés,39,0.0,0.0
Chaussures pour bébés,40,1.0,0.0
Chaussures pour bébés,41,0.0,0.0
Chaussures pour bébés,42,0.0,0.0
Chaussures pour bébés,43,2.0,0.0
Chaussures pour bébés,44,0.0,0.0
Chaussures pour bébés,45,0.0,0.0
Chaussures pour bébés,46,0.0,0.0
Chaussures pour bébés,47,0.0,0.0
Chaussures pour bébés,48,0.0,0.0
Chaussures pour bébés,49,0.0,0.0
Jouets pour nourrissons,1,0.0,1.0
Jouets pour nourrissons,2,0.0,0.0
Jouets pour nourrissons,3,0.0,1.0
Jouets pour nourrissons,4,0.0,0.0
Jouets pour nourrissons,5,0.0,0.0
Jouets pour nourrissons,6,1.0,0.0
Jouets pour nourrissons,7,0.0,1.0
Jouets pour nourrissons,8,0.0,0.0
Jouets pour nourrissons,9,0.0,1.0
Jouets pour nourrissons,10,0.0,0.0
Jouets pour nourrissons,11,0.0,0.0
Jouets pour nourrissons,12,0.0,0.0
Jouets pour nourrissons,13,0.0,0.0
Jouets pour nourrissons,14,0.0,1.0
Jouets pour nourrissons,15,0.0,0.0
Jouets pour nourrissons,16,0.0,0.0
Jouets pour nourrissons,17,0.0,0.0
Jouets pour nourrissons,18,0.0,0.0
Jouets pour nourrissons,19,0.0,0.0
Jouets pour nourrissons,20,0.0,1.0
Jouets pour nourrissons,21,0.0,0.0
Jouets pour nourrissons,22,0.0,0.0
Jouets pour nourrissons,23,0.0,0.0
Jouets pour nourrissons,24,0.0,1.0
Jouets pour nourrissons,25,0.0,1.0
Jouets pour nourrissons,26,0.0,0.0
Jouets pour nourrissons,27,0.0,0.0
Jouets pour nourrissons,28,0.0,1.0
Jouets pour nourrissons,29,,
Jouets pour nourrissons,30,0.0,0.0
Jouets pour nourrissons,31,1.0,0.0
Jouets pour nourrissons,32,0.0,1.0
Jouets pour nourrissons,33,0.0,0.0
Jouets pour nourrissons,34,0.0,0.0
Jouets pour nourrissons,35,0.0,0.0
Jouets pour nourrissons,36,0.0,1.0
Jouets pour nourrissons,37,0.0,0.0
